epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,99.5595,0.70401,1.05944,0.95012,0.98941,0.5,0.49774,0.39422,1.09494,2.58849,0.97534,0.000428672,0.000428672,0.000428672
26,103.576,0.79764,1.07928,0.98455,0.98309,0.5,0.49775,0.39625,1.10456,2.57048,0.98255,0.000429336,0.000429336,0.000429336
27,107.559,0.78802,1.13951,1.02454,0.97826,0.5,0.49867,0.41143,1.14796,2.59484,1.00019,0.000428679,0.000428679,0.000428679
28,111.457,0.7255,1.0548,1.01066,0.97826,0.5,0.49867,0.41143,1.14796,2.59484,1.00019,0.000426702,0.000426702,0.000426702
29,115.394,0.74504,0.99868,0.99923,0.97833,0.5,0.55518,0.43969,1.11088,2.52414,0.98724,0.000423405,0.000423405,0.000423405
30,119.415,0.68213,1.02744,0.95417,0.98443,0.5,0.55519,0.43969,1.03951,2.36076,0.95461,0.000418787,0.000418787,0.000418787
31,123.465,0.6732,1.06986,0.9775,0.98443,0.5,0.55519,0.43969,1.03951,2.36076,0.95461,0.000412849,0.000412849,0.000412849
32,127.49,0.70982,1.15988,0.97987,0.98786,0.5,0.50155,0.4109,1.00388,2.27475,0.94136,0.000405591,0.000405591,0.000405591
33,131.563,0.6616,0.85855,0.8934,0.99105,0.5,0.49807,0.40888,0.94868,2.21323,0.91167,0.000397013,0.000397013,0.000397013
34,135.45,0.69978,0.99164,0.96136,0.99105,0.5,0.49807,0.40888,0.94868,2.21323,0.91167,0.000387114,0.000387114,0.000387114
35,139.503,0.67667,0.96813,0.94249,0.99293,0.5,0.49808,0.43703,0.90013,2.14741,0.87884,0.000375895,0.000375895,0.000375895
36,143.418,0.60024,0.97865,0.94674,0.99587,0.5,0.49808,0.43829,0.85335,2.00529,0.85523,0.000363356,0.000363356,0.000363356
37,147.303,0.63158,0.89094,0.9261,0.99587,0.5,0.49808,0.43829,0.85335,2.00529,0.85523,0.000349497,0.000349497,0.000349497
38,151.209,0.65228,0.92936,0.97962,0.99661,0.5,0.49844,0.43643,0.81026,1.896,0.84043,0.000334317,0.000334317,0.000334317
39,155.25,0.58037,0.94203,0.93933,0.99641,0.5,0.49847,0.42961,0.77941,1.79506,0.83294,0.000317817,0.000317817,0.000317817
40,159.152,0.61804,0.94455,0.89698,0.99641,0.5,0.49847,0.42961,0.77941,1.79506,0.83294,0.000299997,0.000299997,0.000299997
41,163.086,0.68275,1.43536,0.88045,0.9965,0.5,0.50787,0.44496,0.79079,1.74094,0.8341,0.000280856,0.000280856,0.000280856
42,167.015,0.60225,1.28166,0.89028,0.99644,0.5,0.52705,0.45395,0.85049,1.73454,0.86731,0.000260395,0.000260395,0.000260395
43,170.983,0.61694,1.27477,0.90063,0.99644,0.5,0.52705,0.45395,0.85049,1.73454,0.86731,0.000238614,0.000238614,0.000238614
44,174.977,0.58934,1.2854,0.91865,0.99635,0.5,0.52706,0.44526,0.87158,1.76872,0.88014,0.000215513,0.000215513,0.000215513
45,178.908,0.56496,1.28846,0.86891,0.99635,0.5,0.52706,0.44526,0.87158,1.76872,0.88014,0.000191092,0.000191092,0.000191092
46,183.118,0.57517,1.29457,0.87039,0.99611,0.5,0.52707,0.45247,0.86228,1.81062,0.87716,0.00016535,0.00016535,0.00016535
47,187.136,0.56501,1.33245,0.87337,0.99611,0.5,0.52707,0.45247,0.86228,1.81062,0.87716,0.000138288,0.000138288,0.000138288
48,191.346,0.59145,1.2793,0.85469,0.99631,0.5,0.52707,0.45385,0.82248,1.79337,0.86516,0.000109905,0.000109905,0.000109905
49,195.449,0.56272,1.19755,0.85308,0.99631,0.5,0.52707,0.45385,0.82248,1.79337,0.86516,8.02027e-05,8.02027e-05,8.02027e-05
50,199.5,0.58777,1.34849,0.8528,0.94321,0.5,0.52716,0.45926,0.79214,1.74027,0.85413,4.91798e-05,4.91798e-05,4.91798e-05
