epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.27644,1.29403,3.48446,1.41462,0.00273,0.5,0.12986,0.05759,1.27008,4.28,1.47492,1.667e-05,1.667e-05,1.667e-05
2,9.329,1.06361,3.26528,1.30457,0.00285,0.5,0.29161,0.12006,1.1941,4.07654,1.38167,4.90198e-05,4.90198e-05,4.90198e-05
3,13.2908,1.00309,3.10367,1.24987,0.00297,0.5,0.31249,0.18095,0.95724,3.97088,1.15735,8.00493e-05,8.00493e-05,8.00493e-05
4,17.1982,0.82597,2.85516,1.1622,0.00309,0.5,0.41942,0.24922,0.862,3.91994,1.12478,0.000109759,0.000109759,0.000109759
5,21.0374,0.92566,2.34719,1.10857,0.00322,0.5,0.48875,0.31946,0.85892,3.59478,1.05185,0.000138148,0.000138148,0.000138148
6,24.8768,0.77327,1.87024,1.03873,0.96295,0.5,0.4975,0.40353,0.86079,3.31595,0.99021,0.000165216,0.000165216,0.000165216
7,28.7566,0.79602,1.51434,1.08679,1,0.28497,0.4975,0.4136,0.91387,3.09408,0.98623,0.000190965,0.000190965,0.000190965
8,32.6622,0.94925,1.67645,1.24088,1,0.4013,0.4975,0.41825,0.98897,2.99925,0.95488,0.000215393,0.000215393,0.000215393
9,36.5309,0.94099,1.7137,1.12961,1,0.42916,0.4975,0.41825,0.99243,2.98063,0.93637,0.000238501,0.000238501,0.000238501
10,40.4278,0.74966,1.23696,1.00834,1,0.47662,0.4975,0.41845,0.9939,3.02831,0.92376,0.000260289,0.000260289,0.000260289
11,44.338,0.84572,1.55742,1.10816,1,0.40355,0.4975,0.41153,1.01248,3.14196,0.92996,0.000280756,0.000280756,0.000280756
12,48.2595,0.91027,1.4173,1.0058,1,0.33232,0.4975,0.40714,1.03538,3.22023,0.94174,0.000299903,0.000299903,0.000299903
13,52.2288,0.77371,1.39886,0.99745,1,0.21268,0.4975,0.41355,1.0089,3.24263,0.93475,0.00031773,0.00031773,0.00031773
14,56.2335,0.78086,1.36329,1.01176,1,0.20597,0.4975,0.42113,0.99781,3.25403,0.93405,0.000334237,0.000334237,0.000334237
15,60.193,0.98262,1.49757,1.11142,1,0.37815,0.4975,0.40344,0.98041,3.21211,0.93151,0.000349423,0.000349423,0.000349423
16,64.1229,0.77491,1.30018,1.01626,1,0.45055,0.4975,0.40823,1.02947,3.1508,0.94101,0.000363289,0.000363289,0.000363289
17,68.0446,0.79447,1.28255,0.98956,0.98981,0.5,0.4975,0.39549,1.05403,3.03951,0.94812,0.000375835,0.000375835,0.000375835
18,72.0301,0.77749,1.23785,0.99304,0.98726,0.5,0.4975,0.39871,1.07238,2.88535,0.9582,0.000387061,0.000387061,0.000387061
19,76.0002,0.73942,1.15307,0.97166,0.98283,0.5,0.4975,0.40716,1.0942,2.77875,0.98873,0.000396966,0.000396966,0.000396966
20,79.8902,0.74589,1.11455,0.97905,0.99363,0.5,0.4975,0.40716,1.10237,2.61504,0.99774,0.000405551,0.000405551,0.000405551
21,83.8298,0.76799,1.20579,1.03722,1,0.49494,0.4975,0.40716,1.04696,2.52184,0.96553,0.000412816,0.000412816,0.000412816
22,87.7212,0.67939,1.07916,0.9411,0.99782,0.5,0.49774,0.39884,1.01889,2.45391,0.95019,0.00041876,0.00041876,0.00041876
23,91.7353,0.7831,1.1585,1.02503,0.98917,0.5,0.49774,0.39463,1.07905,2.44428,0.96232,0.000423385,0.000423385,0.000423385
24,95.7167,0.69595,0.99581,0.94748,0.98362,0.5,0.49774,0.39764,1.06712,2.50392,0.96675,0.000426689,0.000426689,0.000426689
